Company,Days Since Last Feedback,Current Lead Status,Last Contact Date,Optimal Outreach Window,Recommended Action
"Springfield Armory, Inc.",227,Proposal Sent,2024-04-22,2024-12-12,Proactive outreach needed
Sprint Nextel Corporation,231,Qualified,2024-03-17,2024-12-12,Proactive outreach needed
Spanx,220,Negotiation,2024-03-27,2024-12-12,Proactive outreach needed
Spectrum Brands,231,New,2024-01-24,2024-12-12,Proactive outreach needed
Spherion,221,Closed-Won,2024-01-25,2024-12-12,Proactive outreach needed
"Staples, Inc.",221,Contacted,2024-01-08,2024-12-12,Proactive outreach needed
Starbucks,218,Closed-Lost,2024-03-14,2024-12-12,Proactive outreach needed
Starz,219,Warm ,2024-04-23,2024-12-12,Proactive outreach needed
State Street Corporation,219,Reengaged,2024-03-17,2024-12-12,Proactive outreach needed
Steinway & Sons,219,Cold,2024-04-04,2024-12-12,Proactive outreach needed
"Sterling Ledet & Associates, Inc.",219,Cold,2024-02-27,2024-12-12,Proactive outreach needed
Sterling Commerce,225,In Progress,2024-04-18,2024-12-12,Proactive outreach needed
Stewart-Warner,219,New,2024-02-26,2024-12-12,Proactive outreach needed
Storage Technology Corporation,219,Proposal Sent,2024-03-22,2024-12-12,Proactive outreach needed
STX,218,Contacted,2024-03-19,2024-12-12,Proactive outreach needed
Subway,222,Reengaged,2024-01-18,2024-12-12,Proactive outreach needed
Sunny Delight Beverages,220,Disqualified,2024-03-12,2024-12-12,Proactive outreach needed
"Sun Microsystems, Inc.",221,Qualified,2024-04-21,2024-12-12,Proactive outreach needed
Sunoco,219,Disqualified,2024-01-06,2024-12-12,Proactive outreach needed
Supervalu,218,In Progress,2024-02-15,2024-12-12,Proactive outreach needed
Sur La Table,219,Disqualified,2024-03-15,2024-12-12,Proactive outreach needed
Syntel,224,Reengaged,2024-01-14,2024-12-12,Proactive outreach needed
Symantec,218,New,2024-02-09,2024-12-12,Proactive outreach needed
Taco Tico,227,Closed-Won,2024-02-27,2024-12-12,Proactive outreach needed
Take-Two Interactive,219,Reengaged,2024-01-20,2024-12-12,Proactive outreach needed
Tanadgusix Corporation,219,Closed-Lost,2024-02-05,2024-12-12,Proactive outreach needed
Target Corporation,220,Qualified,2024-01-13,2024-12-12,Proactive outreach needed
Tempur-Pedic,218,Negotiation,2024-01-14,2024-12-12,Proactive outreach needed
Tesla Motors,226,Warm ,2024-02-08,2024-12-12,Proactive outreach needed
Tesoro,219,Cold,2024-01-19,2024-12-12,Proactive outreach needed
Testor Corporation,218,Cold,2024-01-14,2024-12-12,Proactive outreach needed
Texas Instruments,219,Cold,2024-02-04,2024-12-12,Proactive outreach needed
Textron Inc.,219,Warm ,2024-01-30,2024-12-12,Proactive outreach needed
The Library Corporation (TLC),218,Closed-Lost,2024-04-16,2024-12-12,Proactive outreach needed
THQ,223,Closed-Won,2024-01-05,2024-12-12,Proactive outreach needed
Time Warner Cable,218,Proposal Sent,2024-01-05,2024-12-12,Proactive outreach needed
Towers Perrin,218,Referral,2024-03-07,2024-12-12,Proactive outreach needed
TransDigm Group,228,Referral,2024-04-23,2024-12-12,Proactive outreach needed
Transocean,220,Negotiation,2024-03-06,2024-12-12,Proactive outreach needed
Trinity Industries Inc.,220,Proposal Sent,2024-04-21,2024-12-12,Proactive outreach needed
Tropicana Products,219,Closed-Lost,2024-04-25,2024-12-12,Proactive outreach needed
Triumph Group,220,Warm ,2024-04-22,2024-12-12,Proactive outreach needed
Tully's Coffee,218,Closed-Lost,2024-01-10,2024-12-12,Proactive outreach needed
Tupperware Brands Corporation,218,Nurturing,2024-03-06,2024-12-12,Proactive outreach needed
Twitter,221,Qualified,2024-02-12,2024-12-12,Proactive outreach needed
Ubu Productions,219,On-hold,2024-04-30,2024-12-12,Proactive outreach needed
Ultimate Software,223,Warm ,2024-01-04,2024-12-12,Proactive outreach needed
Under Armour,219,Disqualified,2024-03-15,2024-12-12,Proactive outreach needed
Union Oil Company of California (Unocal),220,In Progress,2024-03-14,2024-12-12,Proactive outreach needed
Union Pacific Railroad,219,Contacted,2024-03-17,2024-12-12,Proactive outreach needed
Unisys,222,Cold,2024-03-13,2024-12-12,Proactive outreach needed
United Airlines,218,Cold,2024-04-22,2024-12-12,Proactive outreach needed
United Parcel Service (UPS),227,On-hold,2024-04-14,2024-12-12,Proactive outreach needed
United Technologies,220,New,2024-03-28,2024-12-12,Proactive outreach needed
Universal Studios,222,Negotiation,2024-04-23,2024-12-12,Proactive outreach needed
US Airways,221,Referral,2024-03-17,2024-12-12,Proactive outreach needed
U.S. Robotics,219,Referral,2024-02-21,2024-12-12,Proactive outreach needed
UTStarcom,219,Referral,2024-03-09,2024-12-12,Proactive outreach needed
United Services Automobile Association,223,In Progress,2024-02-02,2024-12-12,Proactive outreach needed
US Cellular,222,In Progress,2024-03-28,2024-12-12,Proactive outreach needed
U.S. Steel,222,Warm ,2024-01-07,2024-12-12,Proactive outreach needed
Uwajimaya,232,In Progress,2024-01-13,2024-12-12,Proactive outreach needed
Valero Energy Corporation,220,Negotiation,2024-02-19,2024-12-12,Proactive outreach needed
Vantec,224,Cold,2024-04-18,2024-12-12,Proactive outreach needed
The Vanguard Group,219,Contacted,2024-02-28,2024-12-12,Proactive outreach needed
Vaughan & Bushnell Manufacturing,221,Contacted,2024-01-08,2024-12-12,Proactive outreach needed
VECO Corporation,220,Negotiation,2024-03-22,2024-12-12,Proactive outreach needed
VF Corporation,224,Closed-Won,2024-02-16,2024-12-12,Proactive outreach needed
Lee (jeans),223,Closed-Lost,2024-04-26,2024-12-12,Proactive outreach needed
Venus Swimwear,230,Cold,2024-04-28,2024-12-12,Proactive outreach needed
Verbatim Corporation,219,Referral,2024-04-24,2024-12-12,Proactive outreach needed
Vertex Pharmaceuticals,221,Disqualified,2024-04-26,2024-12-12,Proactive outreach needed
Victoria's Secret,218,Cold,2024-04-19,2024-12-12,Proactive outreach needed
ViewSonic,224,Qualified,2024-03-24,2024-12-12,Proactive outreach needed
Vistikon,226,Cold,2024-01-24,2024-12-12,Proactive outreach needed
VIZ Media,218,Warm ,2024-02-06,2024-12-12,Proactive outreach needed
Vizio,218,In Progress,2024-02-08,2024-12-12,Proactive outreach needed
Vectren,220,Nurturing,2024-01-23,2024-12-12,Proactive outreach needed
Verizon,218,Reengaged,2024-03-07,2024-12-12,Proactive outreach needed
Verizon Wireless,221,Closed-Won,2024-02-07,2024-12-12,Proactive outreach needed
Vermeer Industries,222,New,2024-02-14,2024-12-12,Proactive outreach needed
Viacom,220,New,2024-02-28,2024-12-12,Proactive outreach needed
Visa Inc.,219,New,2024-03-19,2024-12-12,Proactive outreach needed
Vivitar,218,Warm ,2024-01-20,2024-12-12,Proactive outreach needed
VMware,218,Referral,2024-01-03,2024-12-12,Proactive outreach needed
Vocera Communications,229,Cold,2024-02-07,2024-12-12,Proactive outreach needed
VonMaur,224,Proposal Sent,2024-01-03,2024-12-12,Proactive outreach needed
Vulcan Corporation,218,In Progress,2024-01-19,2024-12-12,Proactive outreach needed
Wahl Clipper,219,Negotiation,2024-02-09,2024-12-12,Proactive outreach needed
Washburn Guitars,227,Proposal Sent,2024-03-20,2024-12-12,Proactive outreach needed
Walmart,219,Proposal Sent,2024-04-03,2024-12-12,Proactive outreach needed
Walgreens,226,Reengaged,2024-01-04,2024-12-12,Proactive outreach needed
Walt Disney Company,223,Disqualified,2024-04-03,2024-12-12,Proactive outreach needed
Warner Bros. Entertainment,220,Closed-Lost,2024-04-11,2024-12-12,Proactive outreach needed
Watco Companies,219,Qualified,2024-04-03,2024-12-12,Proactive outreach needed
W.C. Bradley Co.,226,New,2024-01-26,2024-12-12,Proactive outreach needed
The Weinstein Company,220,Closed-Lost,2024-03-02,2024-12-12,Proactive outreach needed
Welch's,218,New,2024-04-04,2024-12-12,Proactive outreach needed
WellPoint,220,Reengaged,2024-03-10,2024-12-12,Proactive outreach needed
"Wells Fargo Bank, N.A.",225,Disqualified,2024-04-03,2024-12-12,Proactive outreach needed
Wendy's/Arby's Group,221,On-hold,2024-03-20,2024-12-12,Proactive outreach needed
Werner Enterprises,220,Nurturing,2024-04-30,2024-12-12,Proactive outreach needed
W. R. Grace and Company,225,Cold,2024-05-01,2024-12-12,Proactive outreach needed
Westat,223,Qualified,2024-01-20,2024-12-12,Proactive outreach needed
West Liberty Foods,219,Nurturing,2024-03-22,2024-12-12,Proactive outreach needed
Western Digital,222,Negotiation,2024-04-10,2024-12-12,Proactive outreach needed
Westinghouse Digital LLC,225,Warm ,2024-01-28,2024-12-12,Proactive outreach needed
Whataburger,225,Reengaged,2024-03-12,2024-12-12,Proactive outreach needed
Wheeling-Pittsburgh Steel,218,Contacted,2024-04-14,2024-12-12,Proactive outreach needed
Whirlpool Corporation,218,In Progress,2024-03-09,2024-12-12,Proactive outreach needed
Winnebago Industries,219,Qualified,2024-02-25,2024-12-12,Proactive outreach needed
Wizards of the Coast,222,Proposal Sent,2024-04-15,2024-12-12,Proactive outreach needed
Whole Foods Market,220,Negotiation,2024-03-24,2024-12-12,Proactive outreach needed
W. L. Gore & Associates,220,In Progress,2024-03-08,2024-12-12,Proactive outreach needed
Gore-Tex,218,On-hold,2024-04-14,2024-12-12,Proactive outreach needed
World Airways,221,Cold,2024-04-18,2024-12-12,Proactive outreach needed
World Financial Group,221,Reengaged,2024-03-01,2024-12-12,Proactive outreach needed
WWE,222,Proposal Sent,2024-03-04,2024-12-12,Proactive outreach needed
Wynn Resorts,221,Disqualified,2024-04-16,2024-12-12,Proactive outreach needed
Xerox,221,Closed-Won,2024-02-21,2024-12-12,Proactive outreach needed
Xilinx,232,Closed-Won,2024-02-10,2024-12-12,Proactive outreach needed
XPAC,219,Proposal Sent,2024-04-26,2024-12-12,Proactive outreach needed
XPLANE,218,New,2024-03-20,2024-12-12,Proactive outreach needed
Yahoo!,218,Nurturing,2024-03-28,2024-12-12,Proactive outreach needed
YASH Technologies,225,Nurturing,2024-01-26,2024-12-12,Proactive outreach needed
YRC Worldwide Inc.,218,Warm ,2024-01-17,2024-12-12,Proactive outreach needed
"Yum! Brands, Inc.",218,In Progress,2024-04-12,2024-12-12,Proactive outreach needed
Zapata,224,Reengaged,2024-03-19,2024-12-12,Proactive outreach needed
Zappos.com,218,Referral,2024-02-22,2024-12-12,Proactive outreach needed
Zaxby's,226,Contacted,2024-04-18,2024-12-12,Proactive outreach needed
Zenith Electronics,219,In Progress,2024-04-11,2024-12-12,Proactive outreach needed
"ZOMM, LLC",226,Reengaged,2024-02-17,2024-12-12,Proactive outreach needed
Zoo York,223,Qualified,2024-02-13,2024-12-12,Proactive outreach needed
Zoom Technologies,221,Contacted,2024-04-25,2024-12-12,Proactive outreach needed
Zune,223,Referral,2024-04-02,2024-12-12,Proactive outreach needed
100 Grand,218,Proposal Sent,2024-03-08,2024-12-12,Proactive outreach needed
20th Century Fox,218,Reengaged,2024-01-28,2024-12-12,Proactive outreach needed
24-Hour Fitness Center,220,Closed-Lost,2024-01-31,2024-12-12,Proactive outreach needed
3 Musketeers,220,Referral,2024-03-29,2024-12-12,Proactive outreach needed
300,219,On-hold,2024-01-27,2024-12-12,Proactive outreach needed
361°,222,New,2024-03-11,2024-12-12,Proactive outreach needed
365,219,Closed-Won,2024-04-15,2024-12-12,Proactive outreach needed
3M,218,Referral,2024-01-14,2024-12-12,Proactive outreach needed
5,233,Negotiation,2024-01-14,2024-12-12,Proactive outreach needed
5 Second,228,On-hold,2024-01-08,2024-12-12,Proactive outreach needed
5-Hour Energy,218,Closed-Lost,2024-04-23,2024-12-12,Proactive outreach needed
501,218,Warm ,2024-03-31,2024-12-12,Proactive outreach needed
579,220,Proposal Sent,2024-02-13,2024-12-12,Proactive outreach needed
6YS,218,Nurturing,2024-02-02,2024-12-12,Proactive outreach needed
7 For all Mankind,233,Nurturing,2024-01-21,2024-12-12,Proactive outreach needed
7-Eleven,223,Referral,2024-01-30,2024-12-12,Proactive outreach needed
7Up,218,On-hold,2024-01-06,2024-12-12,Proactive outreach needed
84 Lumber,219,Warm ,2024-04-19,2024-12-12,Proactive outreach needed
85°C,222,Nurturing,2024-04-04,2024-12-12,Proactive outreach needed
8th Continent Soymilk,218,Proposal Sent,2024-01-12,2024-12-12,Proactive outreach needed
9,220,Negotiation,2024-01-21,2024-12-12,Proactive outreach needed
9-3,218,Reengaged,2024-01-20,2024-12-12,Proactive outreach needed
9-5,221,Warm ,2024-01-25,2024-12-12,Proactive outreach needed
A&E,218,Referral,2024-02-02,2024-12-12,Proactive outreach needed
A1 Steak Sauce,219,Cold,2024-03-15,2024-12-12,Proactive outreach needed
A4,218,Qualified,2024-01-08,2024-12-12,Proactive outreach needed
A6,219,Proposal Sent,2024-01-14,2024-12-12,Proactive outreach needed
AA Insurance,226,Cold,2024-03-18,2024-12-12,Proactive outreach needed
AAA,219,Proposal Sent,2024-03-27,2024-12-12,Proactive outreach needed
AAA 01 Center WS,218,On-hold,2024-01-08,2024-12-12,Proactive outreach needed
AAdvantage,221,Referral,2024-01-01,2024-12-12,Proactive outreach needed
AB-inBev,218,Referral,2024-04-19,2024-12-12,Proactive outreach needed
ABB,219,Closed-Won,2024-04-01,2024-12-12,Proactive outreach needed
ABB Grain Limited,218,Nurturing,2024-02-08,2024-12-12,Proactive outreach needed
ABC,233,In Progress,2024-03-09,2024-12-12,Proactive outreach needed
ABC Learning,223,On-hold,2024-04-23,2024-12-12,Proactive outreach needed
ABN Amro,223,Warm ,2024-01-10,2024-12-12,Proactive outreach needed
ACE,224,Disqualified,2024-03-05,2024-12-12,Proactive outreach needed
ADInstruments,230,Cold,2024-02-04,2024-12-12,Proactive outreach needed
AFLAC,219,Reengaged,2024-02-06,2024-12-12,Proactive outreach needed
AGL Energy,225,Nurturing,2024-04-02,2024-12-12,Proactive outreach needed
AIG,220,New,2024-02-06,2024-12-12,Proactive outreach needed
AIS,221,Disqualified,2024-02-09,2024-12-12,Proactive outreach needed
AMG,221,Reengaged,2024-03-27,2024-12-12,Proactive outreach needed
AMI,232,On-hold,2024-04-22,2024-12-12,Proactive outreach needed
AMP Limited,221,Referral,2024-04-13,2024-12-12,Proactive outreach needed
ANCA,219,Contacted,2024-02-08,2024-12-12,Proactive outreach needed
ANT1 Group,219,Warm ,2024-01-29,2024-12-12,Proactive outreach needed
ASB,224,Reengaged,2024-03-11,2024-12-12,Proactive outreach needed
ASM International,219,On-hold,2024-03-22,2024-12-12,Proactive outreach needed
ASX,221,Proposal Sent,2024-04-27,2024-12-12,Proactive outreach needed
AWB Limited,221,Warm ,2024-01-31,2024-12-12,Proactive outreach needed
AXA,218,Referral,2024-04-11,2024-12-12,Proactive outreach needed
Aalberts Industries,225,Qualified,2024-04-07,2024-12-12,Proactive outreach needed
Aamco,218,Proposal Sent,2024-01-15,2024-12-12,Proactive outreach needed
Aavin,218,Qualified,2024-02-14,2024-12-12,Proactive outreach needed
AbeBooks,218,In Progress,2024-03-15,2024-12-12,Proactive outreach needed
About Us,221,Nurturing,2024-02-02,2024-12-12,Proactive outreach needed
Abreva,219,Disqualified,2024-01-08,2024-12-12,Proactive outreach needed
Absolut,220,Reengaged,2024-03-31,2024-12-12,Proactive outreach needed
Accell Group,231,Reengaged,2024-04-01,2024-12-12,Proactive outreach needed
Accent,219,Proposal Sent,2024-04-07,2024-12-12,Proactive outreach needed
Accenture,219,Proposal Sent,2024-04-10,2024-12-12,Proactive outreach needed
Accord,220,Negotiation,2024-04-11,2024-12-12,Proactive outreach needed
Accu-Chek,219,Negotiation,2024-03-16,2024-12-12,Proactive outreach needed
Ace Radio,219,Nurturing,2024-04-02,2024-12-12,Proactive outreach needed
Acer,218,Negotiation,2024-04-04,2024-12-12,Proactive outreach needed
Acesita,224,Negotiation,2024-04-09,2024-12-12,Proactive outreach needed
Acindar SA,226,Nurturing,2024-02-13,2024-12-12,Proactive outreach needed
Acne,224,Nurturing,2024-02-12,2024-12-12,Proactive outreach needed
Aconquija Water,222,Proposal Sent,2024-04-16,2024-12-12,Proactive outreach needed
Acrobat,222,Negotiation,2024-03-04,2024-12-12,Proactive outreach needed
Acropolis Rally,218,In Progress,2024-01-14,2024-12-12,Proactive outreach needed
Acsa Argentina,223,Disqualified,2024-02-16,2024-12-12,Proactive outreach needed
Actimel,224,Cold,2024-03-20,2024-12-12,Proactive outreach needed
Activia,220,Closed-Won,2024-02-28,2024-12-12,Proactive outreach needed
Acura,225,In Progress,2024-03-14,2024-12-12,Proactive outreach needed
Acuvue,219,Closed-Lost,2024-04-16,2024-12-12,Proactive outreach needed
Adam Internet,218,Reengaged,2024-04-11,2024-12-12,Proactive outreach needed
Adecco,218,Closed-Lost,2024-02-29,2024-12-12,Proactive outreach needed
Adidas,219,New,2024-02-15,2024-12-12,Proactive outreach needed
Adobe,225,On-hold,2024-03-13,2024-12-12,Proactive outreach needed
Advair,219,Disqualified,2024-03-29,2024-12-12,Proactive outreach needed
Advanced Auto Parts,219,Warm ,2024-03-19,2024-12-12,Proactive outreach needed
Advantech,219,Reengaged,2024-01-07,2024-12-12,Proactive outreach needed
Advil,225,Reengaged,2024-04-15,2024-12-12,Proactive outreach needed
Aegean Airlines,224,Closed-Lost,2024-01-05,2024-12-12,Proactive outreach needed
Aegon,219,Qualified,2024-04-07,2024-12-12,Proactive outreach needed
Aerogard,222,In Progress,2024-04-12,2024-12-12,Proactive outreach needed
Aerolineas Argentinas,227,Warm ,2024-01-25,2024-12-12,Proactive outreach needed
Aeroplane Jelly,218,Contacted,2024-03-18,2024-12-12,Proactive outreach needed
Aeropostale,218,Qualified,2024-03-14,2024-12-12,Proactive outreach needed
Aerosoles,224,Referral,2024-02-10,2024-12-12,Proactive outreach needed
Aerosonde Ltd,224,In Progress,2024-02-01,2024-12-12,Proactive outreach needed
Affin Bank,223,Qualified,2024-01-13,2024-12-12,Proactive outreach needed
Afrin,218,Closed-Won,2024-01-16,2024-12-12,Proactive outreach needed
After Thoughts,221,Qualified,2024-01-23,2024-12-12,Proactive outreach needed
Agip,220,Reengaged,2024-03-19,2024-12-12,Proactive outreach needed
Agrale,224,Qualified,2024-02-10,2024-12-12,Proactive outreach needed
Agrichar,220,Proposal Sent,2024-02-29,2024-12-12,Proactive outreach needed
Agricultural Bank of China,224,Referral,2024-02-22,2024-12-12,Proactive outreach needed
Aguas Cordobesas,220,Cold,2024-02-03,2024-12-12,Proactive outreach needed
Ahold,218,Warm ,2024-04-13,2024-12-12,Proactive outreach needed
Air Australia,219,Qualified,2024-04-05,2024-12-12,Proactive outreach needed
